week,state,state_name,disease,cases,incidence_per_capita,,latitude,longitude
192803,ND,NORTH DAKOTA,MEASLES,8,1.2,,33.223191,43.679291
192803,NE,NEBRASKA,MEASLES,5,0.36,,32.427908,53.688046
192803,NJ,NEW JERSEY,MEASLES,265,6.68,,64.963051,-19.020835
192803,NM,NEW MEXICO,MEASLES,62,14.9,,41.87194,12.56738
192803,NY,NEW YORK,MEASLES,991,8.54,,49.214439,-2.13125
192803,OH,OHIO,MEASLES,321,4.86,,18.109581,-77.297508
192803,OK,OKLAHOMA,MEASLES,147,6.27,,30.585164,36.238414
192803,OR,OREGON,MEASLES,34,3.63,,36.204824,138.252924
192803,PA,PENNSYLVANIA,MEASLES,796,8.12,,-0.023559,37.906193
192803,RI,RHODE ISLAND,MEASLES,18,2.65,,41.20438,74.766098
192803,SC,SOUTH CAROLINA,MEASLES,1347,77.46,,12.565679,104.990963
192803,SD,SOUTH DAKOTA,MEASLES,14,2.04,,-3.370417,-168.734039
192803,TN,TENNESSEE,MEASLES,647,24.66,,-11.875001,43.872219
192803,TX,TEXAS,MEASLES,35,0.62,,17.357822,-62.782998
192803,UT,UTAH,MEASLES,1,0.2,,40.339852,127.510093
192803,VT,VERMONT,MEASLES,4,1.12,,35.907757,127.766922
192803,WA,WASHINGTON,MEASLES,243,15.67,,29.31166,47.481766
192803,WI,WISCONSIN,MEASLES,140,4.79,,19.513469,-80.566956
192803,WV,WEST VIRGINIA,MEASLES,71,4.19,,48.019573,66.923684
192803,WY,WYOMING,MEASLES,3,1.36,,19.85627,102.495496
192804,AL,ALABAMA,MEASLES,332,12.58,,33.854721,35.862285
192804,AR,ARKANSAS,MEASLES,254,13.75,,13.909444,-60.978893
192804,AZ,ARIZONA,MEASLES,8,1.9,,47.166,9.555373
192804,CA,CALIFORNIA,MEASLES,100,1.87,,7.873054,80.771797
192804,CO,COLORADO,MEASLES,139,13.71,,6.428055,-9.429499
192804,CT,CONNECTICUT,MEASLES,164,10.4,,-29.609988,28.233608
192804,DC,DISTRICT OF COLUMBIA,MEASLES,20,4.18,,55.169438,23.881275
192804,DE,DELAWARE,MEASLES,10,4.29,,49.815273,6.129583
192804,FL,FLORIDA,MEASLES,13,0.91,,56.879635,24.603189
192804,GA,GEORGIA,MEASLES,251,8.65,,26.3351,17.228331
192804,IA,IOWA,MEASLES,86,3.51,,31.791702,-7.09262
192804,IL,ILLINOIS,MEASLES,61,0.81,,43.750298,7.412841
192804,IN,INDIANA,MEASLES,132,4.11,,47.411631,28.369885
192804,KS,KANSAS,MEASLES,21,1.14,,42.708678,19.37439
192804,KY,KENTUCKY,MEASLES,141,5.49,,-18.766947,46.869107
192804,LA,LOUISIANA,MEASLES,83,4.02,,7.131474,171.184478
192804,MA,MASSACHUSETTS,MEASLES,1319,31.28,,41.608635,21.745275
192804,MD,MARYLAND,MEASLES,365,22.67,,17.570692,-3.996166
192804,ME,MAINE,MEASLES,75,9.41,,21.913965,95.956223
192804,MI,MICHIGAN,MEASLES,404,8.66,,46.862496,103.846656
192804,MN,MINNESOTA,MEASLES,3,0.12,,22.198745,113.543873
192804,MO,MISSOURI,MEASLES,57,1.58,,17.33083,145.38469
192804,NC,NORTH CAROLINA,MEASLES,4056,131.6,,14.641528,-61.024174
192804,ND,NORTH DAKOTA,MEASLES,26,3.91,,21.00789,-10.940835
192804,NE,NEBRASKA,MEASLES,6,0.44,,16.742498,-62.187366
192804,NH,NEW HAMPSHIRE,MEASLES,68,14.53,,35.937496,14.375416
192804,NJ,NEW JERSEY,MEASLES,269,6.78,,-20.348404,57.552152
192804,NM,NEW MEXICO,MEASLES,115,27.64,,3.202778,73.22068
192804,NY,NEW YORK,MEASLES,1081,9.32,,-13.254308,34.301525
192804,OH,OHIO,MEASLES,291,4.4,,23.634501,-102.552784
192804,OK,OKLAHOMA,MEASLES,111,4.74,,4.210484,101.975766
192804,OR,OREGON,MEASLES,21,2.24,,-18.665695,35.529562
192804,PA,PENNSYLVANIA,MEASLES,822,8.39,,-22.95764,18.49041
192804,RI,RHODE ISLAND,MEASLES,1,0.15,,-20.904305,165.618042
192804,SC,SOUTH CAROLINA,MEASLES,1126,64.75,,17.607789,8.081666
192804,SD,SOUTH DAKOTA,MEASLES,15,2.19,,-29.040835,167.954712
192804,TN,TENNESSEE,MEASLES,495,18.86,,9.081999,8.675277
192804,TX,TEXAS,MEASLES,21,0.37,,12.865416,-85.207229
192804,UT,UTAH,MEASLES,1,0.2,,52.132633,5.291266
192804,VT,VERMONT,MEASLES,24,6.7,,60.472024,8.468946
192804,WA,WASHINGTON,MEASLES,198,12.77,,28.394857,84.124008
192804,WI,WISCONSIN,MEASLES,48,1.64,,-0.522778,166.931503
192804,WV,WEST VIRGINIA,MEASLES,79,4.66,,-19.054445,-169.867233
192804,WY,WYOMING,MEASLES,8,3.64,,-40.900557,174.885971
192805,AL,ALABAMA,MEASLES,212,8.03,,21.512583,55.923255
192805,AR,ARKANSAS,MEASLES,384,20.79,,8.537981,-80.782127
192805,AZ,ARIZONA,MEASLES,2,0.47,,-9.189967,-75.015152
192805,CA,CALIFORNIA,MEASLES,127,2.38,,-17.679742,-149.406843
192805,CO,COLORADO,MEASLES,52,5.13,,-6.314993,143.95555
192805,CT,CONNECTICUT,MEASLES,265,16.8,,12.879721,121.774017
192805,DC,DISTRICT OF COLUMBIA,MEASLES,22,4.59,,30.375321,69.345116
192805,DE,DELAWARE,MEASLES,13,5.58,,51.919438,19.145136
192805,FL,FLORIDA,MEASLES,7,0.49,,46.941936,-56.27111
192805,GA,GEORGIA,MEASLES,314,10.82,,-24.703615,-127.439308
192805,IA,IOWA,MEASLES,75,3.06,,18.220833,-66.590149
192805,ID,IDAHO,MEASLES,1,0.22,,31.952162,35.233154
192805,IL,ILLINOIS,MEASLES,84,1.11,,39.399872,-8.224454
192805,IN,INDIANA,MEASLES,80,2.49,,7.51498,134.58252
192805,KS,KANSAS,MEASLES,28,1.51,,-23.442503,-58.443832
192805,KY,KENTUCKY,MEASLES,205,7.99,,25.354826,51.183884
